AF_Learning_1_Airflow_Ranges___ 000CBFE4
CL_to_OL_Transition_with_Delay_Base_Pulse_Width_Y_AXIS___ 000CE524
CL_to_OL_Transition_with_Delay_Base_Pulse_Width___ 000CE564
CL_to_OL_Transition_with_Delay_Throttle_Hysteresis___ 000CC0E8
CL_to_OL_Transition_with_Delay_Throttle_Y_AXIS___ 000CCCA4
CL_to_OL_Transition_with_Delay_Throttle___ 000CCCE4
Coolant_Temp_Sensor_Scaling_Y_AXIS___ 000D89E4
Coolant_Temp_Sensor_Scaling___ 000D8A54
Cranking_Fuel_IPW_Compensation_Accelerator_Y_AXIS___ 000CC7E0
Cranking_Fuel_IPW_Compensation_Accelerator___ 000CC808
Cranking_Fuel_IPW_Compensation_IAT_Y_AXIS___ 000CC814
Cranking_Fuel_IPW_Compensation_IAT___ 000CC828
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_X_AXIS___ 000CF640
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_Y_AXIS___ 000CF654
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM___ 000CF670
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_X_AXIS___ 000CF5EC
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_Y_AXIS___ 000CF600
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM___ 000CF61C
Cranking_Fuel_IPW_Compensation_MAP_Y_AXIS___ 000CC7AC
Cranking_Fuel_IPW_Compensation_MAP___ 000CC7D4
Cranking_Fuel_Injector_Pulse_Width_A_ECT___ 000CD252
Cranking_Fuel_Injector_Pulse_Width_B_ECT___ 000CD272
Cranking_Fuel_Injector_Pulse_Width_C_ECT___ 000CD292
Cranking_Fuel_Injector_Pulse_Width_D_ECT___ 000CD2B2
Cranking_Fuel_Injector_Pulse_Width_E_ECT___ 000CD2D2
Cranking_Fuel_Injector_Pulse_Width_F_ECT___ 000CD2F2
Engine_Load_Compensation_Cruise_MP_X_AXIS___ 000C3B50
Engine_Load_Compensation_Cruise_MP_Y_AXIS___ 000C3B7C
Engine_Load_Compensation_Cruise_MP___ 000C3BB4
Engine_Load_Compensation_NonCruise_MP_X_AXIS___ 000C3C50
Engine_Load_Compensation_NonCruise_MP_Y_AXIS___ 000C3C7C
Engine_Load_Compensation_NonCruise_MP___ 000C3CB4
Engine_Load_Limit_A_Maximum___ 00020208
Engine_Load_Limit_B_Maximum_RPM_Y_AXIS___ 000C35B8
Engine_Load_Limit_B_Maximum_RPM___ 000C35C0
Extended_Feedback_Correction_High_RPM_Compensation___ 000D2C54
Feedback_Correction_Minimum_Load___ 000D2C20
Feedback_Correction_Negative_Advance_Delay___ 000D28B8
Feedback_Correction_Negative_Advance_Value___ 000D2C4C
Feedback_Correction_Range_RPM___ 000D2C28
Feedback_Correction_Retard_Limit___ 000D2C44
Feedback_Correction_Retard_Value___ 000D2C48
Fine_Correction_Advance_Delay___ 000D28C8
Fine_Correction_Advance_Limit___ 000D2DC0
Fine_Correction_Advance_Value___ 000D2DC4
Fine_Correction_Columns_Load___ 000D2DA4
Fine_Correction_Range_Load___ 000D2DF8
Fine_Correction_Range_RPM___ 000D2DE8
Fine_Correction_Retard_Limit___ 000D2DC8
Fine_Correction_Retard_Value___ 000D2DCC
Fine_Correction_Rows_RPM___ 000D2D88
Front_Oxygen_Sensor_Compensation_Atm_Pressure_Y_AXIS___ 000C36B0
Front_Oxygen_Sensor_Compensation_Atm_Pressure___ 000C36C0
Front_Oxygen_Sensor_Rich_Limit___ 00021B30
Front_Oxygen_Sensor_Scaling_Y_AXIS___ 000D897C
Front_Oxygen_Sensor_Scaling___ 000D89B0
Fuel_Pump_Duty___ 0004B45C
Fuel_Temp_Sensor_Scaling_Y_AXIS___ 000D8BB4
Fuel_Temp_Sensor_Scaling___ 000D8C2C
Gear_Determination_Thresholds_A___ 000C344C
Gear_Determination_Thresholds_B___ 000C3460
Gear_Determination_Thresholds_C___ 000C3474
Idle_Speed_Target_A___ 000D6B6C
Idle_Speed_Target_B___ 000D6BAC
Idle_Speed_Target_C___ 000D6BEC
Idle_Speed_Target_D_Y_AXIS___ 000D6400
Idle_Speed_Target_D___ 000D6C8C
Ignition_Dwell_X_AXIS___ 000D8D94
Ignition_Dwell_Y_AXIS___ 000D8DD4
Ignition_Dwell___ 000D8DE8
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_X_AXIS___ 000C0E54
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_Y_AXIS___ 000C0E6C
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure___ 000C0E7C
InitialMax_Wastegate_Duty_Compensation_ECT_Y_AXIS___ 000C0C14
InitialMax_Wastegate_Duty_Compensation_ECT___ 000C0CB4
InitialMax_Wastegate_Duty_Compensation_IAT___ 000C0C94
Initial_Wastegate_Duty_X_AXIS___ 000C10E0
Initial_Wastegate_Duty_Y_AXIS___ 000C111C
Initial_Wastegate_Duty____ 000C1150
Injector_Flow_Scaling___ 000CBD7C
Injector_Latency_X_AXIS___ 000D0FB8
Injector_Latency_Y_AXIS___ 000D0FCC
Injector_Latency____ 000D0FD8
Intake_Cam_Advance_Angle_Cruise_AVCS_X_AXIS___ 000DA4EC
Intake_Cam_Advance_Angle_Cruise_AVCS_Y_AXIS___ 000DA534
Intake_Cam_Advance_Angle_Cruise_AVCS___ 000DA574
Intake_Cam_Advance_Angle_NonCruise_AVCS_X_AXIS___ 000DA7B4
Intake_Cam_Advance_Angle_NonCruise_AVCS_Y_AXIS___ 000DA7FC
Intake_Cam_Advance_Angle_NonCruise_AVCS___ 000DA83C
Intake_Temp_Sensor_Scaling_Y_AXIS___ 000D8AC4
Intake_Temp_Sensor_Scaling___ 000D8B3C
Knock_Correction_Advance_Max_Cruise_X_AXIS___ 000D54E4
Knock_Correction_Advance_Max_Cruise_Y_AXIS___ 000D5528
Knock_Correction_Advance_Max_Cruise___ 000D5570
Knock_Correction_Advance_Max_NonCruise_X_AXIS___ 000D56A4
Knock_Correction_Advance_Max_NonCruise_Y_AXIS___ 000D56E8
Knock_Correction_Advance_Max_NonCruise___ 000D5730
MAF_Compensation_IAT_X_AXIS___ 000C3AF4
MAF_Compensation_IAT_Y_AXIS___ 000C3B08
MAF_Compensation_IAT___ 000C3B28
MAF_Limit_Maximum___ 000C30D8
MAF_Sensor_Scaling_Y_AXIS___ 000D87CC
MAF_Sensor_Scaling___ 000D88A4
Manifold_Pressure_Sensor_CEL_Delays___ 000D8651
Manifold_Pressure_Sensor_Limits_CEL___ 000D869A
Manifold_Pressure_Sensor_Scaling____ 000D86E8
Max_Wastegate_Duty_Limit_PostCompensation___ 00013F3C
Max_Wastegate_Duty_X_AXIS___ 000C0EE8
Max_Wastegate_Duty_Y_AXIS___ 000C0F24
Max_Wastegate_Duty____ 000C0F58
Min_Primary_Base_Enrichment_1_Cruise_Y_AXIS___ 000CF8A4
Min_Primary_Base_Enrichment_1_Cruise___ 000CF8C8
Min_Primary_Base_Enrichment_1_NonCruise_Y_AXIS___ 000CF804
Min_Primary_Base_Enrichment_1_NonCruise___ 000CF824
Min_Primary_Base_Enrichment_1_NonPrimary_OL_Y_AXIS___ 000CC590
Min_Primary_Base_Enrichment_1_NonPrimary_OL____ 000CC88D
Minimum_Active_Primary_Open_Loop_Enrichment___ 000CC0E0
Minimum_Primary_Open_Loop_Enrichment_Accelerator_Y_AXIS___ 000CCD14
Minimum_Primary_Open_Loop_Enrichment_Accelerator___ 000CCD2C
Minimum_Primary_Open_Loop_Enrichment_Throttle_Y_AXIS___ 000CCCF4
Minimum_Primary_Open_Loop_Enrichment_Throttle___ 000CCD0C
Minimum_Tipin_Enrichment_Activation_Throttle___ 000CC40C
Minimum_Tipin_Enrichment_Activation___ 000CC410
P0000_PASS_CODE__NO_DTC_DETECTED_ 00098CA2
P0000__PASS_CODE__NO_DTC_DETECTED_ 00098CA3
P0011_CAMSHAFT_POS_TIMING_OVER_ADVANCED_1 00098C85
P0016_CRANKSHAFT_CAMSHAFT_CORRELATION_1A 00098D13
P0018_CRANKSHAFT_CAMSHAFT_CORRELATION_2A 00098D12
P0021_CAMSHAFT_POS_TIMING_OVER_ADVANCED_2 00098C86
P0030_FRONT_O2_SENSOR_RANGE_PERF 00098CC6
P0031_FRONT_O2_SENSOR_LOW_INPUT 00098CB1
P0032_FRONT_O2_SENSOR_HIGH_INPUT 00098CAF
P0037_REAR_O2_SENSOR_LOW_INPUT 00098CB0
P0038_REAR_O2_SENSOR_HIGH_INPUT 00098CAE
P0068_MAP_SENSOR_RANGE_PERF 00098CC1
P0101_MAF_SENSOR_RANGE_PERF 00098CC2
P0102_MAF_SENSOR_LOW_INPUT 00098C61
P0103_MAF_SENSOR_HIGH_INPUT 00098C62
P0107_MAP_SENSOR_LOW_INPUT 00098CB2
P0108_MAP_SENSOR_HIGH_INPUT 00098CB3
P0111_IAT_SENSOR_RANGE_PERF 00098CAD
P0112_IAT_SENSOR_LOW_INPUT 00098CAB
P0113_IAT_SENSOR_HIGH_INPUT 00098CAC
P0117_COOLANT_TEMP_SENSOR_LOW_INPUT 00098C6A
P0118_COOLANT_TEMP_SENSOR_HIGH_INPUT 00098C6B
P0122_TPS_A_LOW_INPUT 00098C68
P0123_TPS_A_HIGH_INPUT 00098C69
P0125_INSUFFICIENT_COOLANT_TEMP__FUELING_ 00098C6D
P0126_INSUFFICIENT_COOLANT_TEMP__OPERATION_ 00098CFB
P0128_THERMOSTAT_MALFUNCTION 00098CB8
P0131_FRONT_O2_SENSOR_LOW_INPUT 00098CA5
P0132_FRONT_O2_SENSOR_HIGH_INPUT 00098CA7
P0134_FRONT_O2_SENSOR_NO_ACTIVITY 00098CC4
P0137_REAR_O2_SENSOR_LOW_VOLTAGE 00098CA4
P0138_REAR_O2_SENSOR_HIGH_VOLTAGE 00098CA9
P013A_O2_SENSOR_SLOW_RESPONSE_RICH_TO_LEAN_B1_S2 00098D51
P013B_O2_SENSOR_SLOW_RESPONSE_LEAN_TO_RICH_B1_S2 00098D50
P013E_O2_SENSOR_DELAYED_RESPONSE_RICH_TO_LEAN_B1_S2 00098D4D
P013F_O2_SENSOR_DELAYED_RESPONSE_LEAN_TO_RICH_B1_S2 00098D4C
P0140_REAR_O2_SENSOR_NO_ACTIVITY 00098D0E
P0141_REAR_O2_SENSOR_MALFUNCTION 00098C8E
P014C_O2_SENSOR_SLOW_RESPONSE_RICH_TO_LEAN_B1_S1 00098D3E
P014D_O2_SENSOR_SLOW_RESPONSE_LEAN_TO_RICH_B1_S1 00098D3D
P015A_O2_SENSOR_DELAYED_RESPONSE_RICH_TO_LEAN_B1_S1 00098D3A
P015B_O2_SENSOR_DELAYED_RESPONSE_LEAN_TO_RICH_B1_S1 00098D39
P0171_SYSTEM_TOO_LEAN 00098C99
P0172_SYSTEM_TOO_RICH 00098C9A
P0201_INJECTOR_CIRCUIT_MALFUNCTION_CYLINDER_1 00098D23
P0202_INJECTOR_CIRCUIT_MALFUNCTION_CYLINDER_2 00098D26
P0203_INJECTOR_CIRCUIT_MALFUNCTION_CYLINDER_3 00098D25
P0204_INJECTOR_CIRCUIT_MALFUNCTION_CYLINDER_4 00098D24
P0222_TPS_B_LOW_INPUT 00098CCD
P0223_TPS_B_HIGH_INPUT 00098CCE
P0230_FUEL_PUMP_PRIMARY_CIRCUIT 00098CC0
P0244_WASTEGATE_SOLENOID_A_RANGE_PERF 00098CBF
P0245_WASTEGATE_SOLENOID_A_LOW 00098CBD
P0246_WASTEGATE_SOLENOID_A_HIGH 00098CBE
P0301_MISFIRE_CYLINDER_1 00098C9B
P0302_MISFIRE_CYLINDER_2 00098C9C
P0303_MISFIRE_CYLINDER_3 00098C9D
P0304_MISFIRE_CYLINDER_4 00098C9E
P0327_KNOCK_SENSOR_1_LOW_INPUT 00098C66
P0328_KNOCK_SENSOR_1_HIGH_INPUT 00098C67
P0335_CRANKSHAFT_POS_SENSOR_A_MALFUNCTION 00098C5C
P0336_CRANKSHAFT_POS_SENSOR_A_RANGE_PERF 00098C5D
P0340_CAMSHAFT_POS_SENSOR_A_MALFUNCTION 00098CE0
P0345_CAMSHAFT_POS_SENSOR_A_BANK_2 00098CDF
P0351_IGNITION_COIL_A_PRIMARY_SECONDARY_CIRCUIT_MALFUNCTION 00098D57
P0352_IGNITION_COIL_B_PRIMARY_SECONDARY_CIRCUIT_MALFUNCTION 00098D56
P0353_IGNITION_COIL_C_PRIMARY_SECONDARY_CIRCUIT_MALFUNCTION 00098D55
P0354_IGNITION_COIL_D_PRIMARY_SECONDARY_CIRCUIT_MALFUNCTION 00098D54
P0410_SECONDARY_AIR_PUMP_SYSTEM 00098D08
P0411_SECONDARY_AIR_PUMP_INCORRECT_FLOW 00098D07
P0413_SECONDARY_AIR_PUMP_A_OPEN 00098D0C
P0414_SECONDARY_AIR_PUMP_A_SHORTED 00098D10
P0416_SECONDARY_AIR_PUMP_B_OPEN 00098D1A
P0417_SECONDARY_AIR_PUMP_B_SHORTED 00098D19
P0418_SECONDARY_AIR_PUMP_RELAY_A 00098D0D
P0420_CAT_EFFICIENCY_BELOW_THRESHOLD 00098C95
P0441_EVAP_INCORRECT_PURGE_FLOW 00098D44
P0451_EVAP_PRESSURE_SENSOR_RANGE_PERF 00098D43
P0452_EVAP_PRESSURE_SENSOR_LOW_INPUT 00098D36
P0453_EVAP_PRESSURE_SENSOR_HIGH_INPUT 00098D35
P0455_EVAP_EMISSION_CONTROL_SYSTEM_LEAK_DETECTED__GROSS_LEAK_ 00098D42
P0456_EVAP_LEAK_DETECTED__VERY_SMALL_ 00098C97
P0458_EVAP_PURGE_VALVE_CIRCUIT_LOW 00098C89
P0459_EVAP_PURGE_VALVE_CIRCUIT_HIGH 00098C8A
P0461_FUEL_LEVEL_SENSOR_RANGE_PERF 00098C70
P0462_FUEL_LEVEL_SENSOR_LOW_INPUT 00098C6E
P0463_FUEL_LEVEL_SENSOR_HIGH_INPUT 00098C6F
P0500_VEHICLE_SPEED_SENSOR_A 00098C63
P0506_IDLE_CONTROL_RPM_LOWER_THAN_EXPECTED 00098C83
P0507_IDLE_CONTROL_RPM_HIGH_THAN_EXPECTED 00098C84
P050A_COLD_START_IDLE_AIR_CONTROL_SYSTEM_PERFORMANCE 00098D30
P050B_COLD_START_IGNITION_TIMING_PERFORMANCE 00098D2F
P0512_STARTER_REQUEST_CIRCUIT 00098C72
P0604_CONTROL_MODULE_RAM_ERROR 00098C60
P0605_CONTROL_MODULE_ROM_ERROR 00098CE1
P0607_CONTROL_MODULE_PERFORMANCE 00098CD5
P0638_THROTTLE_ACTUATOR_RANGE_PERF 00098CD4
P0851_NEUTRAL_SWITCH_INPUT_LOW 00098C76
P0852_NEUTRAL_SWITCH_INPUT_HIGH 00098C7A
P1152_FRONT_O2_SENSOR_RANGE_PERF_LOW_B1_S1 00098C91
P1153_FRONT_O2_SENSOR_RANGE_PERF_HIGH_B1_S1 00098C92
P1160_ABNORMAL_RETURN_SPRING 00098CCF
P1400_FUEL_TANK_PRESSURE_SOL_LOW 00098C87
P1410_SECONDARY_AIR_PUMP_VALVE_STUCK_OPEN 00098D14
P1418_SECONDARY_AIR_PUMP_CIRCUIT_SHORTED 00098D11
P1420_FUEL_TANK_PRESSURE_SOL_HIGH_INPUT 00098C88
P1449_EVAPORATIVE_EMISSION_CONT_SYS_AIR_FILTER_CLOG 00098D41
P1451_EVAPORATIVE_EMISSION_CONT_SYS 00098D40
P1458_CANISTER_PURGE_CONTROL_SOLENOID_VALVE_2_LOW 00098D3F
P1459_CANISTER_PURGE_CONTROL_SOLENOID_VALVE_2_HIGH 00098D49
P1491_PCV_BLOWBY_FUNCTION_PROBLEM___ 00098CB9
P1518_STARTER_SWITCH_LOW_INPUT 00098C71
P1519_IMRC_STUCK_CLOSED 00098D1F
P1520_IMRC_CIRCUIT_MALFUNCTION 00098D1E
P1560_BACK_UP_VOLTAGE_MALFUNCTION 00098CBA
P1616_SBDS_INTERACTIVE_CODES 00098D1D
P2004_TGV___INTAKE_MANIFOLD_RUNNER_1_STUCK_OPEN 00098CF6
P2005_TGV___INTAKE_MANIFOLD_RUNNER_2_STUCK_OPEN 00098CF8
P2006_TGV___INTAKE_MANIFOLD_RUNNER_1_STUCK_CLOSED 00098CF7
P2007_TGV___INTAKE_MANIFOLD_RUNNER_2_STUCK_CLOSED 00098CF9
P2008_TGV___INTAKE_MANIFOLD_RUNNER_1_CIRCUIT_OPEN 00098D04
P2009_TGV___INTAKE_MANIFOLD_RUNNER_1_CIRCUIT_LOW 00098D02
P2011_TGV___INTAKE_MANIFOLD_RUNNER_2_CIRCUIT_OPEN 00098D05
P2012_TGV___INTAKE_MANIFOLD_RUNNER_2_CIRCUIT_LOW 00098D03
P2016_TGV___INTAKE_MANIFOLD_RUNNER_1_POS_SENSOR_LOW 00098CFE
P2017_TGV___INTAKE_MANIFOLD_RUNNER_1_POS_SENSOR_HIGH 00098CFF
P2021_TGV___INTAKE_MANIFOLD_RUNNER_2_POS_SENSOR_LOW 00098D00
P2022_TGV___INTAKE_MANIFOLD_RUNNER_2_POS_SENSOR_HIGH 00098D01
P2088_OCV_SOLENOID_A1_CIRCUIT_OPEN 00098CE9
P2089_OCV_SOLENOID_A1_CIRCUIT_SHORT 00098CE8
P2092_OCV_SOLENOID_A2_CIRCUIT_OPEN 00098CE7
P2093_OCV_SOLENOID_A2_CIRCUIT_SHORT 00098CE6
P2096_POST_CATALYST_TOO_LEAN_B1 00098CD3
P2097_POST_CATALYST_TOO_RICH_B1 00098CDC
P2101_THROTTLE_ACTUATOR_CIRCUIT_RANGE_PERF 00098CD2
P2102_THROTTLE_ACTUATOR_CIRCUIT_LOW 00098CD0
P2103_THROTTLE_ACTUATOR_CIRCUIT_HIGH 00098CD1
P2109_TPS_A_MINIMUM_STOP_PERF 00098CCC
P2122_TPS_D_CIRCUIT_LOW_INPUT 00098CD9
P2123_TPS_D_CIRCUIT_HIGH_INPUT 00098CDA
P2127_TPS_E_CIRCUIT_LOW_INPUT 00098CD7
P2128_TPS_E_CIRCUIT_HIGH_INPUT 00098CD8
P2135_TPS_A_B_VOLTAGE 00098CDB
P2138_TPS_D_E_VOLTAGE 00098CD6
P219A_BANK_1_AFR_IMBALANCE 00098D46
P2401_EVAP_LEAK_DETECTION_PUMP_CONTROL_CIRCUIT_LOW 00098D34
P2402_EVAP_LEAK_DETECTION_PUMP_CONTROL_CIRCUIT_HIGH 00098D48
P2404_EVAP_LEAK_DETECTION_PUMP_SENSE_CIRCUIT_RANGE_PERF 00098D47
P2419_EVAP_SWITCHING_VALVE_LOW 00098D33
P2420_EVAP_SWITCHING_VALVE_HIGH 00098D32
P2431_SECONDARY_AIR_PUMP_CIRCUIT_RANGE_PERF 00098D09
P2432_SECONDARY_AIR_PUMP_CIRCUIT_LOW 00098D0B
P2433_SECONDARY_AIR_PUMP_CIRCUIT_HIGH 00098D0A
P2440_SECONDARY_AIR_PUMP_VALVE_1_STUCK_OPEN 00098D18
P2441_SECONDARY_AIR_PUMP_VALVE_1_STUCK_CLOSED 00098D17
P2442_SECONDARY_AIR_PUMP_VALVE_2_STUCK_OPEN 00098D16
P2443_SECONDARY_AIR_PUMP_2_STUCK_CLOSED 00098D15
P2444_SECONDARY_AIR_PUMP_1_STUCK_ON_B1 00098D06
P2610_ECM_PCM_INTERNAL_ENGINE_OFF_TIMER_PERFORMANCE 00098D31
Per_Injector_Pulse_Width_Compensation_A_X_AXIS___ 000D06CC
Per_Injector_Pulse_Width_Compensation_A_Y_AXIS___ 000D0710
Per_Injector_Pulse_Width_Compensation_A___ 000D0754
Per_Injector_Pulse_Width_Compensation_B_X_AXIS___ 000D0878
Per_Injector_Pulse_Width_Compensation_B_Y_AXIS___ 000D08BC
Per_Injector_Pulse_Width_Compensation_B___ 000D0900
Per_Injector_Pulse_Width_Compensation_C_X_AXIS___ 000D0A24
Per_Injector_Pulse_Width_Compensation_C_Y_AXIS___ 000D0A68
Per_Injector_Pulse_Width_Compensation_C___ 000D0AAC
Per_Injector_Pulse_Width_Compensation_D_X_AXIS___ 000D0BD0
Per_Injector_Pulse_Width_Compensation_D_Y_AXIS___ 000D0C14
Per_Injector_Pulse_Width_Compensation_D___ 000D0C58
Primary_Open_Loop_Fuel_Map_Switch_IAM___ 000CC0DC
Primary_Open_Loop_Fueling_Compensation_ECT___ 000CE638
Primary_Open_Loop_Fueling_Compensation_Timing_Compensation_Y_AXIS___ 000CCC84
Primary_Open_Loop_Fueling_Compensation_Timing_Compensation____ 000CCC9C
Primary_Open_Loop_Fueling_Failsafe_X_AXIS___ 000CFDD0
Primary_Open_Loop_Fueling_Failsafe_Y_AXIS___ 000CFE14
Primary_Open_Loop_Fueling_Failsafe___ 000CFE5C
Primary_Open_Loop_Fueling_X_AXIS___ 000CFC10
Primary_Open_Loop_Fueling_Y_AXIS___ 000CFC54
Primary_Open_Loop_Fueling___ 000CFC9C
PtrSsmGet_AF_Adjustment_Voltage_P68___ 00063578
PtrSsmGet_AF_Correction_1_P3___ 00063250
PtrSsmGet_AF_Correction_2_P5___ 00063258
PtrSsmGet_AF_Correction_3_32bit_ECU_P89___ 0006356C
PtrSsmGet_AF_Heater_Duty_P43___ 00063308
PtrSsmGet_AF_Lean_Correction_P42___ 00063304
PtrSsmGet_AF_Learning_1_P4___ 00063254
PtrSsmGet_AF_Learning_2_P6___ 0006325C
PtrSsmGet_AF_Learning_3_P66___ 00063570
PtrSsmGet_AF_Sensor_1_Current_P54___ 00063334
PtrSsmGet_AF_Sensor_1_Heater_Current_P61___ 00063378
PtrSsmGet_AF_Sensor_1_P58___ 00063344
PtrSsmGet_AF_Sensor_1_Resistance_P56___ 0006333C
PtrSsmGet_AF_Sensor_2_Current_P55___ 00063338
PtrSsmGet_AF_Sensor_2_Heater_Current_P62___ 0006337C
PtrSsmGet_AF_Sensor_2_P59___ 00063348
PtrSsmGet_AF_Sensor_2_Resistance_P57___ 00063340
PtrSsmGet_Accelerator_Pedal_Angle_P30___ 000632D0
PtrSsmGet_Accumulated_Count_of_Overspeed_Instances_High_RPM_P199___ 00063C90
PtrSsmGet_Accumulated_Count_of_Overspeed_Instances_Very_High_RPM_P198___ 00063C8C
PtrSsmGet_Actual_Common_Rail_Pressure_Time_Synchronized_P204___ 00063AA8
PtrSsmGet_AirFuel_Correction_4_P117___ 00063658
PtrSsmGet_AirFuel_Learning_4_P118___ 0006365C
PtrSsmGet_Air_Mass_P160___ 000639C8
PtrSsmGet_Alternator_Control_Mode_P185___ 00063BF4
PtrSsmGet_Alternator_Duty_P46___ 00063314
PtrSsmGet_Atmospheric_Pressure_P24___ 000632B8
PtrSsmGet_Battery_Current_P183___ 00063BF0
PtrSsmGet_Battery_Temperature_P184___ 00063BF8
PtrSsmGet_Battery_Voltage_P17___ 0006329C
PtrSsmGet_Boost_Pressure_Feedback_P168___ 000639EC
PtrSsmGet_Brake_Booster_Pressure_P77___ 0006363C
PtrSsmGet_CO_Adjustment_P28___ 000632C8
PtrSsmGet_CPC_Valve_Duty_Ratio_P38___ 000632F4
PtrSsmGet_Common_Rail_Pressure_P165___ 000639DC
PtrSsmGet_Common_Rail_Target_Pressure_P164___ 000639D8
PtrSsmGet_Coolant_Temperature_P2___ 0006324C
PtrSsmGet_Cumulative_Ash_Ratio_P186___ 00063C00
PtrSsmGet_Cumulative_oil_diesel_entry_P236___ 00063CB4
PtrSsmGet_Diesel_Particulate_Filter_DPF_Regeneration_Count_P207___ 00063CA0
PtrSsmGet_Differential_Pressure_Sensor_Voltage_P20___ 000632A8
PtrSsmGet_Electric_Power_Steering_Current_P169___ 00063A00
PtrSsmGet_Engine_Idle_Speed_User_Adjustment_AC_on_P241___ 000633F0
PtrSsmGet_Engine_Load_Relative_P1___ 00063248
PtrSsmGet_Engine_Speed_P8___ 00063264
PtrSsmGet_Estimated_Catalyst_Temperature_P190___ 00063C10
PtrSsmGet_Estimated_Distance_to_Oil_Change_P205___ 00063C94
PtrSsmGet_Estimated_Temperature_of_the_Diesel_Particulate_Filter_DPF_P191___ 00063C14
PtrSsmGet_Estimated_odometer_P120___ 00063664
PtrSsmGet_Exhaust_Gas_Recirculation_EGR_Duty_P163___ 000639D4
PtrSsmGet_Exhaust_Gas_Recirculation_EGR_Target_Valve_Opening_Angle_P161___ 000639CC
PtrSsmGet_Exhaust_Gas_Recirculation_EGR_Valve_Opening_Angle_P162___ 000639D0
PtrSsmGet_Exhaust_Gas_Temperature_2_P116___ 00063648
