AF_Learning_1_Airflow_Ranges 000CB5AC
Base_Timing_Primary_NonCruise__________ 000D542C
Base_Timing_Reference_Cruise_AVCS_related 000D3DB0
Base_Timing_Reference_Cruise_AVCS_related_X_AXIS____ 000D18AC
Base_Timing_Reference_Cruise_AVCS_related_X_AXIS_________ 000D5584
Base_Timing_Reference_Cruise_AVCS_related_Y_AXIS____ 000D18F0
Base_Timing_Reference_Cruise_AVCS_related_Y_AXIS_________ 000D55D0
Base_Timing_Reference_Cruise_AVCS_related_____ 000D1938
Base_Timing_Reference_Cruise_AVCS_related__________ 000D5618
Base_Timing_Reference_NonCruise_AVCS_related 000D3F70
Base_Timing_Reference_NonCruise_AVCS_related_X_AXIS____ 000D1A6C
Base_Timing_Reference_NonCruise_AVCS_related_X_AXIS_________ 000D5770
Base_Timing_Reference_NonCruise_AVCS_related_Y_AXIS____ 000D1AB0
Base_Timing_Reference_NonCruise_AVCS_related_Y_AXIS_________ 000D57BC
Base_Timing_Reference_NonCruise_AVCS_related_____ 000D1AF8
Base_Timing_Reference_NonCruise_AVCS_related__________ 000D5804
Boost_Control_Disable_Delay_Fine_Correction 000C0BAD
Boost_Control_Disable_Delay_Fine_Correction_____ 000C0581
Boost_Control_Disable_Delay_Fine_Correction__________ 000C0A05
Boost_Control_Disable_Fine_Correction 000C0BF8
Boost_Control_Disable_Fine_Correction_____ 000C05CC
Boost_Control_Disable_Fine_Correction__________ 000C0A50
Boost_Control_Disable_IAM 000C0BFC
Boost_Control_Disable_IAM_____ 000C05D0
Boost_Control_Disable_IAM__________ 000C0A54
Boost_Limit_Fuel_Cut_ 000D19EC
Boost_Limit_Fuel_Cut_X_AXIS____ 000CEE24
Boost_Limit_Fuel_Cut_X_AXIS_________ 000D31CC
Boost_Limit_Fuel_Cut_Y_AXIS____ 000CEE3C
Boost_Limit_Fuel_Cut_Y_AXIS_________ 000D31E4
Boost_Limit_Fuel_Cut______ 000CEE54
Boost_Limit_Fuel_Cut___________ 000D31FC
CL_Delay_Engine_Load_Counter_Threshold 000CB1AC
CL_Delay_Engine_Load_Counter_Threshold_____ 000C8770
CL_Delay_Engine_Load_Counter_Threshold__________ 000CC8C6
CL_Delay_Maximum_Engine_Load 000CB73C
CL_Delay_Maximum_Engine_Load_____ 000C8D00
CL_Delay_Maximum_Engine_Load__________ 000CCE60
CL_Delay_Maximum_Engine_Speed_Neutral 000CB6E0
CL_Delay_Maximum_Engine_Speed_Neutral_____ 000C8CA4
CL_Delay_Maximum_Engine_Speed_Neutral__________ 000CCE04
CL_Delay_Maximum_Engine_Speed_Per_Gear 000CB6B8
CL_Delay_Maximum_Engine_Speed_Per_Gear_____ 000C8C7C
CL_Delay_Maximum_Engine_Speed_Per_Gear__________ 000CCDDC
CL_Delay_Maximum_Throttle 000CB710
CL_Delay_Maximum_Throttle_____ 000C8CD4
CL_Delay_Maximum_Throttle__________ 000CCE34
CL_Delay_Maximum_Vehicle_Speed 000CB72C
CL_Delay_Maximum_Vehicle_Speed_____ 000C8CF0
CL_Delay_Maximum_Vehicle_Speed__________ 000CCE50
CL_Delay_Minimum_ECT 000CB6B4
CL_Delay_Minimum_ECT_____ 000C8C78
CL_Delay_Minimum_ECT__________ 000CCDD8
CL_Fueling_Target_Compensation_A_Load 000D09E4
CL_Fueling_Target_Compensation_A_Load_X_AXIS____ 000CDED0
CL_Fueling_Target_Compensation_A_Load_X_AXIS_________ 000D2178
CL_Fueling_Target_Compensation_A_Load_Y_AXIS____ 000CDEFC
CL_Fueling_Target_Compensation_A_Load_Y_AXIS_________ 000D21A8
CL_Fueling_Target_Compensation_A_Load_____ 000CDF24
CL_Fueling_Target_Compensation_A_Load__________ 000D21D4
CL_Fueling_Target_Compensation_B_Load 000D0C54
CL_Fueling_Target_Compensation_B_Load_X_AXIS____ 000CE130
CL_Fueling_Target_Compensation_B_Load_X_AXIS_________ 000D2440
CL_Fueling_Target_Compensation_B_Load_Y_AXIS____ 000CE15C
CL_Fueling_Target_Compensation_B_Load_Y_AXIS_________ 000D2478
CL_Fueling_Target_Compensation_B_Load_____ 000CE184
CL_Fueling_Target_Compensation_B_Load__________ 000D24AC
CL_Fueling_Target_Compensation_ECT_Disable 000CB4E0
CL_Fueling_Target_Compensation_ECT_Disable_____ 000CCBF8
CL_Fueling_Target_Compensation_Imm_Cruise_ECT 000D08C4
CL_Fueling_Target_Compensation_Imm_Cruise_ECT_Y_AXIS____ 000CDDF8
CL_Fueling_Target_Compensation_Imm_Cruise_ECT_Y_AXIS_________ 000D20A0
CL_Fueling_Target_Compensation_Imm_Cruise_ECT_____ 000CDE04
CL_Fueling_Target_Compensation_Imm_Cruise_ECT__________ 000D20AC
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT 000D0930
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT_Y_AXIS____ 000CDE64
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT_Y_AXIS_________ 000D210C
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT_____ 000CDE70
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT__________ 000D2118
CL_to_OL_DelaySwitch_SIDRIVE_Intelligent 000CB1AE
CL_to_OL_DelaySwitch_SIDRIVE_Intelligent_____ 000CC8C8
CL_to_OL_Delay_ 000CB1B4
CL_to_OL_Delay______ 000C8778
CL_to_OL_Delay___________ 000CC8CE
CL_to_OL_Transition_Counter_Step_Value_MAF 000CDB54
CL_to_OL_Transition_Counter_Step_Value_MAF_Y_AXIS____ 000CB07C
CL_to_OL_Transition_Counter_Step_Value_MAF_Y_AXIS_________ 000CF240
CL_to_OL_Transition_Counter_Step_Value_MAF_____ 000CB0A4
CL_to_OL_Transition_Counter_Step_Value_MAF__________ 000CF268
CL_to_OL_Transition_with_Delay_BPW_Hysteresis 000CB6AC
CL_to_OL_Transition_with_Delay_BPW_Hysteresis_____ 000C8C70
CL_to_OL_Transition_with_Delay_BPW_Hysteresis__________ 000CCDD0
CL_to_OL_Transition_with_Delay_Base_Pulse_Width 000CDB0C
CL_to_OL_Transition_with_Delay_Base_Pulse_Width_Y_AXIS____ 000CB01C
CL_to_OL_Transition_with_Delay_Base_Pulse_Width_Y_AXIS_________ 000CF1E0
CL_to_OL_Transition_with_Delay_Base_Pulse_Width_____ 000CB05C
CL_to_OL_Transition_with_Delay_Base_Pulse_Width__________ 000CF220
CL_to_OL_Transition_with_Delay_Throttle 000CC2AC
CL_to_OL_Transition_with_Delay_Throttle_Hysteresis 000CB6B0
CL_to_OL_Transition_with_Delay_Throttle_Hysteresis_____ 000C8C74
CL_to_OL_Transition_with_Delay_Throttle_Hysteresis__________ 000CCDD4
CL_to_OL_Transition_with_Delay_Throttle_Y_AXIS____ 000C97AC
CL_to_OL_Transition_with_Delay_Throttle_Y_AXIS_________ 000CD954
CL_to_OL_Transition_with_Delay_Throttle_____ 000C97EC
CL_to_OL_Transition_with_Delay_Throttle__________ 000CD994
Checksum_Fix 000FFB80
Coolant_Temp_Sensor_Scaling 000D7FFC
Coolant_Temp_Sensor_Scaling_Y_AXIS____ 000D4ED0
Coolant_Temp_Sensor_Scaling_Y_AXIS_________ 000D9E20
Coolant_Temp_Sensor_Scaling_____ 000D4F40
Coolant_Temp_Sensor_Scaling__________ 000D9E90
Cranking_Fuel_IPW_Compensation_Accelerator 000CBDD0
Cranking_Fuel_IPW_Compensation_Accelerator_Y_AXIS____ 000C92E8
Cranking_Fuel_IPW_Compensation_Accelerator_Y_AXIS_________ 000CD490
Cranking_Fuel_IPW_Compensation_Accelerator_____ 000C9310
Cranking_Fuel_IPW_Compensation_Accelerator__________ 000CD4B8
Cranking_Fuel_IPW_Compensation_IAT 000CBDF0
Cranking_Fuel_IPW_Compensation_IAT_Y_AXIS____ 000C931C
Cranking_Fuel_IPW_Compensation_IAT_Y_AXIS_________ 000CD4C4
Cranking_Fuel_IPW_Compensation_IAT_____ 000C9330
Cranking_Fuel_IPW_Compensation_IAT__________ 000CD4D8
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM 000CEC18
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_X_AXIS____ 000CC128
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_X_AXIS_________ 000D03FC
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_Y_AXIS____ 000CC13C
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_Y_AXIS_________ 000D0410
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM_____ 000CC158
Cranking_Fuel_IPW_Compensation_Imm_Cruise_RPM__________ 000D042C
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM 000CEBC4
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_X_AXIS____ 000CC0D4
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_X_AXIS_________ 000D03A8
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_Y_AXIS____ 000CC0E8
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_Y_AXIS_________ 000D03BC
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM_____ 000CC104
Cranking_Fuel_IPW_Compensation_Imm_NonCruise_RPM__________ 000D03D8
Cranking_Fuel_IPW_Compensation_MAP 000CBD9C
Cranking_Fuel_IPW_Compensation_MAP_Y_AXIS____ 000C92B4
Cranking_Fuel_IPW_Compensation_MAP_Y_AXIS_________ 000CD45C
Cranking_Fuel_IPW_Compensation_MAP_____ 000C92DC
Cranking_Fuel_IPW_Compensation_MAP__________ 000CD484
Cranking_Fuel_Injector_Pulse_Width_A_ECT 000CC81A
Cranking_Fuel_Injector_Pulse_Width_A_ECT_____ 000C9D5A
Cranking_Fuel_Injector_Pulse_Width_A_ECT__________ 000CDF06
Cranking_Fuel_Injector_Pulse_Width_B_ECT 000CC83A
Cranking_Fuel_Injector_Pulse_Width_B_ECT_____ 000C9D7A
Cranking_Fuel_Injector_Pulse_Width_B_ECT__________ 000CDF26
Cranking_Fuel_Injector_Pulse_Width_C_ECT 000CC85A
Cranking_Fuel_Injector_Pulse_Width_C_ECT_____ 000C9D9A
Cranking_Fuel_Injector_Pulse_Width_C_ECT__________ 000CDF46
Cranking_Fuel_Injector_Pulse_Width_D_ECT 000CC87A
Cranking_Fuel_Injector_Pulse_Width_D_ECT_____ 000C9DBA
Cranking_Fuel_Injector_Pulse_Width_D_ECT__________ 000CDF66
Cranking_Fuel_Injector_Pulse_Width_E_ECT 000CC89A
Cranking_Fuel_Injector_Pulse_Width_E_ECT_____ 000C9DDA
Cranking_Fuel_Injector_Pulse_Width_E_ECT__________ 000CDF86
Cranking_Fuel_Injector_Pulse_Width_F_ECT 000CC8BA
Cranking_Fuel_Injector_Pulse_Width_F_ECT_____ 000C9DFA
Cranking_Fuel_Injector_Pulse_Width_F_ECT__________ 000CDFA6
Engine_Load_Compensation_Cruise_MP 000C3BB4
Engine_Load_Compensation_Cruise_MP_X_AXIS____ 000C3334
Engine_Load_Compensation_Cruise_MP_X_AXIS_________ 000C3790
Engine_Load_Compensation_Cruise_MP_Y_AXIS____ 000C3360
Engine_Load_Compensation_Cruise_MP_Y_AXIS_________ 000C37BC
Engine_Load_Compensation_Cruise_MP_____ 000C3398
Engine_Load_Compensation_Cruise_MP__________ 000C3818
Engine_Load_Compensation_NonCruise_MP 000C3CB4
Engine_Load_Compensation_NonCruise_MP_X_AXIS____ 000C3434
Engine_Load_Compensation_NonCruise_MP_X_AXIS_________ 000C3918
Engine_Load_Compensation_NonCruise_MP_Y_AXIS____ 000C3460
Engine_Load_Compensation_NonCruise_MP_Y_AXIS_________ 000C3944
Engine_Load_Compensation_NonCruise_MP_____ 000C3498
Engine_Load_Compensation_NonCruise_MP__________ 000C3998
Engine_Load_Limit_A_Maximum 00020198
Engine_Load_Limit_A_Maximum_____ 0001FC08
Engine_Load_Limit_A_Maximum__________ 000205E8
Engine_Load_Limit_B_Maximum_RPM 000C35C0
Engine_Load_Limit_B_Maximum_RPM_Y_AXIS____ 000C2F30
Engine_Load_Limit_B_Maximum_RPM_Y_AXIS_________ 000C31F8
Engine_Load_Limit_B_Maximum_RPM_____ 000C2F38
Engine_Load_Limit_B_Maximum_RPM__________ 000C3200
Exhaust_Cam_Retard_Angle_Cruise_AVCS_X_AXIS____ 000DCBA4
Exhaust_Cam_Retard_Angle_Cruise_AVCS_Y_AXIS____ 000DCBF0
Exhaust_Cam_Retard_Angle_Cruise_AVCS____ 000DCC38
Exhaust_Cam_Retard_Angle_ECT_Related_Multiplier_Y_AXIS____ 000DB264
Exhaust_Cam_Retard_Angle_ECT_Related_Multiplier____ 000DB53C
Exhaust_Cam_Retard_Angle_ECT_Related_X_AXIS____ 000DD224
Exhaust_Cam_Retard_Angle_ECT_Related_Y_AXIS____ 000DD270
Exhaust_Cam_Retard_Angle_ECT_Related____ 000DD2B8
Exhaust_Cam_Retard_Angle_NonCruise_AVCS_X_AXIS____ 000DCEE4
Exhaust_Cam_Retard_Angle_NonCruise_AVCS_Y_AXIS____ 000DCF30
Exhaust_Cam_Retard_Angle_NonCruise_AVCS____ 000DCF78
Extended_Feedback_Correction_High_RPM_Compensation 000D21FC
Extended_Feedback_Correction_High_RPM_Compensation_____ 000CF350
Extended_Feedback_Correction_High_RPM_Compensation__________ 000D3A14
Feedback_Correction_Minimum_Load 000D21C8
Feedback_Correction_Minimum_Load_____ 000CF31C
Feedback_Correction_Minimum_Load__________ 000D39E0
Feedback_Correction_Negative_Advance_Delay 000D1E60
Feedback_Correction_Negative_Advance_Delay_____ 000CF286
Feedback_Correction_Negative_Advance_Delay__________ 000D3672
Feedback_Correction_Negative_Advance_Value 000D21F4
Feedback_Correction_Negative_Advance_Value_____ 000CF348
Feedback_Correction_Negative_Advance_Value__________ 000D3A0C
Feedback_Correction_Range_RPM 000D21D0
Feedback_Correction_Range_RPM_____ 000CF324
Feedback_Correction_Range_RPM__________ 000D39E8
Feedback_Correction_Retard_Limit 000D21EC
Feedback_Correction_Retard_Limit_____ 000CF340
Feedback_Correction_Retard_Limit__________ 000D3A04
Feedback_Correction_Retard_Value 000D21F0
Feedback_Correction_Retard_Value_____ 000CF344
Feedback_Correction_Retard_Value__________ 000D3A08
Fine_Correction_Advance_Delay 000D1E70
Fine_Correction_Advance_Delay_____ 000CF296
Fine_Correction_Advance_Delay__________ 000D3682
Fine_Correction_Advance_Limit 000D2368
Fine_Correction_Advance_Limit_____ 000CF4BC
Fine_Correction_Advance_Limit__________ 000D3B88
Fine_Correction_Advance_Value 000D236C
Fine_Correction_Advance_Value_____ 000CF4C0
Fine_Correction_Advance_Value__________ 000D3B8C
Fine_Correction_Columns_Load 000D234C
Fine_Correction_Columns_Load_____ 000CF4A0
Fine_Correction_Columns_Load__________ 000D3B6C
Fine_Correction_Range_Load 000D23A0
Fine_Correction_Range_Load_____ 000CF4F4
Fine_Correction_Range_Load__________ 000D3BC0
Fine_Correction_Range_RPM 000D2390
Fine_Correction_Range_RPM_____ 000CF4E4
Fine_Correction_Range_RPM__________ 000D3BB0
Fine_Correction_Retard_Limit 000D2370
Fine_Correction_Retard_Limit_____ 000CF4C4
Fine_Correction_Retard_Limit__________ 000D3B90
Fine_Correction_Retard_Value 000D2374
Fine_Correction_Retard_Value_____ 000CF4C8
Fine_Correction_Retard_Value__________ 000D3B94
Fine_Correction_Rows_RPM 000D2330
Fine_Correction_Rows_RPM_____ 000CF484
Fine_Correction_Rows_RPM__________ 000D3B50
Force_Pass_Readiness_Monitors_ 000A0E2C
Force_Pass_Readiness_Monitors______ 00092AD8
Force_Pass_Readiness_Monitors___________ 000A9160
Front_Oxygen_Sensor_Compensation_Atm_Pressure 000C36C0
Front_Oxygen_Sensor_Compensation_Atm_Pressure_Y_AXIS____ 000C3028
Front_Oxygen_Sensor_Compensation_Atm_Pressure_Y_AXIS_________ 000C32F0
Front_Oxygen_Sensor_Compensation_Atm_Pressure_____ 000C3038
Front_Oxygen_Sensor_Compensation_Atm_Pressure__________ 000C3300
Front_Oxygen_Sensor_Rich_Limit 00021AC0
Front_Oxygen_Sensor_Rich_Limit_____ 0002135C
Front_Oxygen_Sensor_Rich_Limit__________ 0002208C
Front_Oxygen_Sensor_Scaling 000D7F58
Front_Oxygen_Sensor_Scaling_Y_AXIS____ 000D53C0
Front_Oxygen_Sensor_Scaling_Y_AXIS_________ 000D9DB8
Front_Oxygen_Sensor_Scaling_____ 000D53F4
Front_Oxygen_Sensor_Scaling__________ 000D9DEC
Fuel_Pump_Duty_Cycle 0004ADCC
Fuel_Pump_Duty____ 00045328
Fuel_Pump_Duty_________ 0004BCD8
Fuel_Temp_Sensor_Scaling 000D81D4
Fuel_Temp_Sensor_Scaling_Y_AXIS____ 000D5120
Fuel_Temp_Sensor_Scaling_Y_AXIS_________ 000D9FF0
Fuel_Temp_Sensor_Scaling_____ 000D5198
Fuel_Temp_Sensor_Scaling__________ 000DA068
Gear_Determination_Thresholds_A 000C344C
Gear_Determination_Thresholds_A_____ 000C2D8C
Gear_Determination_Thresholds_A__________ 000C308C
Gear_Determination_Thresholds_B_____ 000C2DA0
Gear_Determination_Thresholds_B__________ 000C30A0
Gear_Determination_Thresholds_C 000C3474
Gear_Determination_Thresholds_C_____ 000C2DB4
Gear_Determination_Thresholds_C__________ 000C30B4
Idle_Speed_Target_A 000D6114
Idle_Speed_Target_A_____ 000D33B8
Idle_Speed_Target_A__________ 000D7CEE
Idle_Speed_Target_B 000D6154
Idle_Speed_Target_B_____ 000D33F8
Idle_Speed_Target_B__________ 000D7D2E
Idle_Speed_Target_C 000D6194
Idle_Speed_Target_C_Y_AXIS____ 000D2D6C
Idle_Speed_Target_C_____ 000D3438
Idle_Speed_Target_C__________ 000D7D6E
Idle_Speed_Target_D 000D6234
Idle_Speed_Target_D_Y_AXIS____ 000D7448
Idle_Speed_Target_D_____ 000D7DAE
Ignition_Dwell 000D8390
Ignition_Dwell_X_AXIS____ 000D5518
Ignition_Dwell_X_AXIS_________ 000DA2C0
Ignition_Dwell_Y_AXIS____ 000D5558
Ignition_Dwell_Y_AXIS_________ 000DA300
Ignition_Dwell_____ 000D556C
Ignition_Dwell__________ 000DA314
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure 000C0E7C
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_X_AXIS____ 000C0828
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_X_AXIS_________ 000C0CD4
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_Y_AXIS____ 000C0840
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_Y_AXIS_________ 000C0CEC
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure_____ 000C0850
InitialMax_Wastegate_Duty_Compensation_Atm_Pressure__________ 000C0CFC
InitialMax_Wastegate_Duty_Compensation_ECT 000C0CB4
InitialMax_Wastegate_Duty_Compensation_ECT_Y_AXIS____ 000C05E8
InitialMax_Wastegate_Duty_Compensation_ECT_Y_AXIS_________ 000C0A6C
InitialMax_Wastegate_Duty_Compensation_ECT_____ 000C0688
InitialMax_Wastegate_Duty_Compensation_ECT__________ 000C0B0C
InitialMax_Wastegate_Duty_Compensation_IAT 000C0C94
InitialMax_Wastegate_Duty_Compensation_IAT_____ 000C0668
InitialMax_Wastegate_Duty_Compensation_IAT__________ 000C0AEC
Initial_Wastegate_Duty_ 000C1150
Initial_Wastegate_Duty_X_AXIS____ 000C0AB4
Initial_Wastegate_Duty_X_AXIS_________ 000C0E98
Initial_Wastegate_Duty_Y_AXIS____ 000C0AF0
Initial_Wastegate_Duty_Y_AXIS_________ 000C0EC4
Initial_Wastegate_Duty______ 000C0B24
Initial_Wastegate_Duty___________ 000C0EEC
Injector_Flow_Scaling 000CB350
Injector_Flow_Scaling_____ 000C893C
Injector_Flow_Scaling__________ 000CCA68
Injector_Latency_ 000D0580
Injector_Latency_X_AXIS____ 000CDAA0
Injector_Latency_X_AXIS_________ 000D1C4C
Injector_Latency_Y_AXIS____ 000CDAB4
Injector_Latency_Y_AXIS_________ 000D1C60
Injector_Latency______ 000CDAC0
Injector_Latency___________ 000D1C6C
Intake_Cam_Advance_Angle_Cruise_AVCS 000D9B1C
Intake_Cam_Advance_Angle_Cruise_AVCS_X_AXIS____ 000D6E80
Intake_Cam_Advance_Angle_Cruise_AVCS_X_AXIS_________ 000DBE34
Intake_Cam_Advance_Angle_Cruise_AVCS_Y_AXIS____ 000D6EC8
Intake_Cam_Advance_Angle_Cruise_AVCS_Y_AXIS_________ 000DBE80
Intake_Cam_Advance_Angle_Cruise_AVCS_____ 000D6F08
Intake_Cam_Advance_Angle_Cruise_AVCS__________ 000DBEC8
Intake_Cam_Advance_Angle_ECT_Related_Multiplier____ 000DB43A
Intake_Cam_Advance_Angle_ECT_Related_X_AXIS____ 000DC4B4
Intake_Cam_Advance_Angle_ECT_Related_Y_AXIS____ 000DC500
Intake_Cam_Advance_Angle_ECT_Related____ 000DC548
Intake_Cam_Advance_Angle_NonCruise_AVCS 000D9DE4
Intake_Cam_Advance_Angle_NonCruise_AVCS_X_AXIS____ 000D7148
Intake_Cam_Advance_Angle_NonCruise_AVCS_X_AXIS_________ 000DC174
Intake_Cam_Advance_Angle_NonCruise_AVCS_Y_AXIS____ 000D7190
Intake_Cam_Advance_Angle_NonCruise_AVCS_Y_AXIS_________ 000DC1C0
Intake_Cam_Advance_Angle_NonCruise_AVCS_____ 000D71D0
Intake_Cam_Advance_Angle_NonCruise_AVCS__________ 000DC208
Intake_Temp_Sensor_Scaling 000D80E4
Intake_Temp_Sensor_Scaling_Y_AXIS____ 000D4FB0
Intake_Temp_Sensor_Scaling_Y_AXIS_________ 000D9F00
Intake_Temp_Sensor_Scaling_____ 000D5028
Intake_Temp_Sensor_Scaling__________ 000D9F78
Knock_Correction_Advance_Additive_Range_RPM____ 000D3AD8
Knock_Correction_Advance_Alternate_Mode_____ 000D3637
Knock_Correction_Advance_Max_Additive_A_Knock_Conditions_IAM_X_AXIS____ 000D60D8
Knock_Correction_Advance_Max_Additive_A_Knock_Conditions_IAM_Y_AXIS____ 000D6124
Knock_Correction_Advance_Max_Additive_A_Knock_Conditions_IAM____ 000D616C
Knock_Correction_Advance_Max_Additive_B_Knock_Conditions_X_AXIS____ 000D669C
Knock_Correction_Advance_Max_Additive_B_Knock_Conditions_Y_AXIS____ 000D66E8
Knock_Correction_Advance_Max_Additive_B_Knock_Conditions____ 000D6730
Knock_Correction_Advance_Max_Cruise 000D4B18
Knock_Correction_Advance_Max_Cruise_X_AXIS____ 000D1128
Knock_Correction_Advance_Max_Cruise_Y_AXIS____ 000D116C
Knock_Correction_Advance_Max_Cruise_____ 000D11B4
Knock_Correction_Advance_Max_NonCruise 000D4CD8
Knock_Correction_Advance_Max_NonCruise_X_AXIS____ 000D12E8
Knock_Correction_Advance_Max_NonCruise_Y_AXIS____ 000D132C
Knock_Correction_Advance_Max_NonCruise_____ 000D1374
Knock_Correction_Advance_Max_Primary_Cruise_IAM_X_AXIS____ 000D62C4
Knock_Correction_Advance_Max_Primary_Cruise_IAM_Y_AXIS____ 000D6310
Knock_Correction_Advance_Max_Primary_Cruise_IAM____ 000D6358
Knock_Correction_Advance_Max_Primary_NonCruise_IAM_X_AXIS____ 000D64B0
Knock_Correction_Advance_Max_Primary_NonCruise_IAM_Y_AXIS____ 000D64FC
Knock_Correction_Advance_Max_Primary_NonCruise_IAM____ 000D6544
LastOfTables 000B1AA4
MAF_Compensation_IAT 000C3B28
MAF_Compensation_IAT_X_AXIS____ 000C32D8
MAF_Compensation_IAT_X_AXIS_________ 000C3734
MAF_Compensation_IAT_Y_AXIS____ 000C32EC
MAF_Compensation_IAT_Y_AXIS_________ 000C3748
MAF_Compensation_IAT_____ 000C330C
MAF_Compensation_IAT__________ 000C3768
MAF_Limit_Maximum 000C30D8
MAF_Limit_Maximum_____ 000C2B94
MAF_Limit_Maximum__________ 000C2D18
MAF_Sensor_Scaling 000D7E4C
MAF_Sensor_Scaling_Y_AXIS____ 000D5210
MAF_Sensor_Scaling_Y_AXIS_________ 000D9C08
MAF_Sensor_Scaling_____ 000D52E8
MAF_Sensor_Scaling__________ 000D9CE0
Manifold_Pressure_Sensor_CEL_Delays 000D7BF9
Manifold_Pressure_Sensor_CEL_Delays_____ 000C3BF6
Manifold_Pressure_Sensor_CEL_Delays__________ 000D9A66
Manifold_Pressure_Sensor_Limits_CEL 000D7C42
Manifold_Pressure_Sensor_Limits_CEL_____ 000D4E44
Manifold_Pressure_Sensor_Limits_CEL__________ 000D9AB2
Manifold_Pressure_Sensor_Scaling_ 000D7C90
Manifold_Pressure_Sensor_Scaling______ 000D4EA4
Manifold_Pressure_Sensor_Scaling___________ 000D9B50
Max_Wastegate_Duty_ 000C0F58
Max_Wastegate_Duty_Limit_PostCompensation_____ 00013D98
Max_Wastegate_Duty_Limit_PostCompensation__________ 00013F3C
Max_Wastegate_Duty_X_AXIS____ 000C08BC
Max_Wastegate_Duty_X_AXIS_________ 000C0D68
Max_Wastegate_Duty_Y_AXIS____ 000C08F8
Max_Wastegate_Duty_Y_AXIS_________ 000C0D94
Max_Wastegate_Duty______ 000C092C
Max_Wastegate_Duty___________ 000C0DBC
Min_Primary_Base_Enrichment_1_Cruise 000CEE70
